X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key
67.709953,33.93911,1,,Afghanistan,2020/12/15 05:26:38+00,33.93911,67.709953,48718,38252,1969,8497,,,Afghanistan
20.1683,41.1533,2,,Albania,2020/12/15 05:26:38+00,41.1533,20.1683,49191,24820,1016,23355,,,Albania
1.6596,28.0339,3,,Algeria,2020/12/15 05:26:38+00,28.0339,1.6596,92597,60888,2609,29100,,,Algeria
1.5218,42.5063,4,,Andorra,2020/12/15 05:26:38+00,42.5063,1.5218,7382,6706,79,597,,,Andorra
17.8739,-11.2027,5,,Angola,2020/12/15 05:26:38+00,-11.2027,17.8739,16277,8924,372,6981,,,Angola
-61.7964,17.0608,6,,Antigua and Barbuda,2020/12/15 05:26:38+00,17.0608,-61.7964,148,138,5,5,,,Antigua and Barbuda
-63.6167,-38.4161,7,,Argentina,2020/12/15 05:26:38+00,-38.4161,-63.6167,1503222,1340120,41041,122061,,,Argentina
45.0382,40.0691,8,,Armenia,2020/12/15 05:26:38+00,40.0691,45.0382,148682,125966,2503,20213,,,Armenia
149.0124,-35.4735,9,Australian Capital Territory,Australia,2020/12/15 05:26:38+00,-35.4735,149.0124,117,114,3,0,,,"Australian Capital Territory, Australia"
151.2093,-33.8688,10,New South Wales,Australia,2020/12/15 05:26:38+00,-33.8688,151.2093,4650,3191,53,1406,,,"New South Wales, Australia"
130.8456,-12.4634,11,Northern Territory,Australia,2020/12/15 05:26:38+00,-12.4634,130.8456,66,58,0,8,,,"Northern Territory, Australia"
153.0251,-27.4698,12,Queensland,Australia,2020/12/15 05:26:38+00,-27.4698,153.0251,1228,1204,6,18,,,"Queensland, Australia"
138.6007,-34.9285,13,South Australia,Australia,2020/12/15 05:26:38+00,-34.9285,138.6007,563,559,4,0,,,"South Australia, Australia"
147.3272,-42.8821,14,Tasmania,Australia,2020/12/15 05:26:38+00,-42.8821,147.3272,234,217,13,4,,,"Tasmania, Australia"
144.9631,-37.8136,15,Victoria,Australia,2020/12/15 05:26:38+00,-37.8136,144.9631,20352,19525,820,7,,,"Victoria, Australia"
115.8605,-31.9505,16,Western Australia,Australia,2020/12/15 05:26:38+00,-31.9505,115.8605,838,821,9,8,,,"Western Australia, Australia"
14.5501,47.5162,17,,Austria,2020/12/15 05:26:38+00,47.5162,14.5501,325051,284174,4530,36347,,,Austria
47.5769,40.1431,18,,Azerbaijan,2020/12/15 05:26:38+00,40.1431,47.5769,178986,114841,1966,62179,,,Azerbaijan
-78.035889,25.025885,19,,Bahamas,2020/12/15 05:26:38+00,25.025885,-78.035889,7674,6070,163,1441,,,Bahamas
50.55,26.0275,20,,Bahrain,2020/12/15 05:26:38+00,26.0275,50.55,89268,87332,348,1588,,,Bahrain
90.3563,23.685,21,,Bangladesh,2020/12/15 05:26:38+00,23.685,90.3563,492332,423845,7089,61398,,,Bangladesh
-59.5432,13.1939,22,,Barbados,2020/12/15 05:26:38+00,13.1939,-59.5432,296,272,7,17,,,Barbados
27.9534,53.7098,23,,Belarus,2020/12/15 05:26:38+00,53.7098,27.9534,162148,139785,1273,21090,,,Belarus
4.4024,51.2195,24,Antwerp,Belgium,2020/12/15 05:26:38+00,51.2195,4.4024,72928,0,0,72928,,,"Antwerp, Belgium"
4.3517,50.8503,25,Brussels,Belgium,2020/12/15 05:26:38+00,50.8503,4.3517,78760,0,0,78760,,,"Brussels, Belgium"
3.7373,51.0362,26,East Flanders,Belgium,2020/12/15 05:26:38+00,51.0362,3.7373,58994,0,0,58994,,,"East Flanders, Belgium"
4.5833,50.9167,27,Flemish Brabant,Belgium,2020/12/15 05:26:38+00,50.9167,4.5833,46545,0,0,46545,,,"Flemish Brabant, Belgium"
4.0621,50.5257,28,Hainaut,Belgium,2020/12/15 05:26:38+00,50.5257,4.0621,97558,0,0,97558,,,"Hainaut, Belgium"
5.8492,50.4496,29,Liege,Belgium,2020/12/15 05:26:38+00,50.4496,5.8492,94046,0,0,94046,,,"Liege, Belgium"
5.342,50.9739,30,Limburg,Belgium,2020/12/15 05:26:38+00,50.9739,5.342,26446,0,0,26446,,,"Limburg, Belgium"
5.4677,50.0547,31,Luxembourg,Belgium,2020/12/15 05:26:38+00,50.0547,5.4677,17347,0,0,17347,,,"Luxembourg, Belgium"
4.8221,50.331,32,Namur,Belgium,2020/12/15 05:26:38+00,50.331,4.8221,33739,0,0,33739,,,"Namur, Belgium"
,,33,Unknown,Belgium,2020/12/15 05:26:38+00,,,10039,0,18054,-8015,,,"Unknown, Belgium"
4.35,50.4,34,Walloon Brabant,Belgium,2020/12/15 05:26:38+00,50.4,4.35,24057,0,0,24057,,,"Walloon Brabant, Belgium"
3.1458,51.0536,35,West Flanders,Belgium,2020/12/15 05:26:38+00,51.0536,3.1458,48752,0,0,48752,,,"West Flanders, Belgium"
-88.4976,17.1899,36,,Belize,2020/12/15 05:26:38+00,17.1899,-88.4976,9377,4414,197,4766,,,Belize
2.3158,9.3077,37,,Benin,2020/12/15 05:26:38+00,9.3077,2.3158,3090,2972,44,74,,,Benin
90.4336,27.5142,38,,Bhutan,2020/12/15 05:26:38+00,27.5142,90.4336,438,404,0,34,,,Bhutan
-63.5887,-16.2902,39,,Bolivia,2020/12/15 05:26:38+00,-16.2902,-63.5887,147345,126439,9024,11882,,,Bolivia
17.6791,43.9159,40,,Bosnia and Herzegovina,2020/12/15 05:26:38+00,43.9159,17.6791,101461,66486,3391,31584,,,Bosnia and Herzegovina
24.6849,-22.3285,41,,Botswana,2020/12/15 05:26:38+00,-22.3285,24.6849,12873,10456,38,2379,,,Botswana
-70.812,-9.0238,42,Acre,Brazil,2020/12/15 05:26:38+00,-9.0238,-70.812,38628,32639,753,5236,,,"Acre, Brazil"
-36.782,-9.5713,43,Alagoas,Brazil,2020/12/15 05:26:38+00,-9.5713,-36.782,98928,94234,2380,2314,,,"Alagoas, Brazil"
-52.003,0.902,44,Amapa,Brazil,2020/12/15 05:26:38+00,0.902,-52.003,63601,48648,854,14099,,,"Amapa, Brazil"
-65.8561,-3.4168,45,Amazonas,Brazil,2020/12/15 05:26:38+00,-3.4168,-65.8561,187279,159612,5011,22656,,,"Amazonas, Brazil"
-41.7007,-12.5797,46,Bahia,Brazil,2020/12/15 05:26:38+00,-12.5797,-41.7007,447126,427134,8635,11357,,,"Bahia, Brazil"
-39.3206,-5.4984,47,Ceara,Brazil,2020/12/15 05:26:38+00,-5.4984,-39.3206,316394,257263,9786,49345,,,"Ceara, Brazil"
-47.8645,-15.7998,48,Distrito Federal,Brazil,2020/12/15 05:26:38+00,-15.7998,-47.8645,240132,228322,4086,7724,,,"Distrito Federal, Brazil"
-40.3089,-19.1834,49,Espirito Santo,Brazil,2020/12/15 05:26:38+00,-19.1834,-40.3089,213124,197443,4571,11110,,,"Espirito Santo, Brazil"
-49.8362,-15.827,50,Goias,Brazil,2020/12/15 05:26:38+00,-15.827,-49.8362,294146,283508,6549,4089,,,"Goias, Brazil"
-45.2744,-4.9609,51,Maranhao,Brazil,2020/12/15 05:26:38+00,-4.9609,-45.2744,197267,188137,4386,4744,,,"Maranhao, Brazil"
-56.9211,-12.6819,52,Mato Grosso,Brazil,2020/12/15 05:26:38+00,-12.6819,-56.9211,166784,158568,4215,4001,,,"Mato Grosso, Brazil"
-54.7852,-20.7722,53,Mato Grosso do Sul,Brazil,2020/12/15 05:26:38+00,-20.7722,-54.7852,113981,98556,1949,13476,,,"Mato Grosso do Sul, Brazil"
-44.555,-18.5122,54,Minas Gerais,Brazil,2020/12/15 05:26:38+00,-18.5122,-44.555,469003,423918,10711,34374,,,"Minas Gerais, Brazil"
-54.9306,-1.9981,55,Para,Brazil,2020/12/15 05:26:38+00,-1.9981,-54.9306,280714,261876,7003,11835,,,"Para, Brazil"
-36.782,-7.24,56,Paraiba,Brazil,2020/12/15 05:26:38+00,-7.24,-36.782,153917,120419,3452,30046,,,"Paraiba, Brazil"
-52.0215,-25.2521,57,Parana,Brazil,2020/12/15 05:26:38+00,-25.2521,-52.0215,332158,232170,6803,93185,,,"Parana, Brazil"
-36.9541,-8.8137,58,Pernambuco,Brazil,2020/12/15 05:26:38+00,-8.8137,-36.9541,199046,172569,9299,17178,,,"Pernambuco, Brazil"
-42.7289,-7.7183,59,Piaui,Brazil,2020/12/15 05:26:38+00,-7.7183,-42.7289,134892,131714,2723,455,,,"Piaui, Brazil"
-36.9541,-5.4026,60,Rio Grande do Norte,Brazil,2020/12/15 05:26:38+00,-5.4026,-36.9541,104299,48821,2805,52673,,,"Rio Grande do Norte, Brazil"
-51.2177,-30.0346,61,Rio Grande do Sul,Brazil,2020/12/15 05:26:38+00,-30.0346,-51.2177,378893,351491,7681,19721,,,"Rio Grande do Sul, Brazil"
-43.1729,-22.9068,62,Rio de Janeiro,Brazil,2020/12/15 05:26:38+00,-22.9068,-43.1729,389893,359165,23740,6988,,,"Rio de Janeiro, Brazil"
-63.5806,-11.5057,63,Rondonia,Brazil,2020/12/15 05:26:38+00,-11.5057,-63.5806,86118,74704,1645,9769,,,"Rondonia, Brazil"
-62.0751,-2.7376,64,Roraima,Brazil,2020/12/15 05:26:38+00,-2.7376,-62.0751,66454,62652,755,3047,,,"Roraima, Brazil"
-50.2189,-27.2423,65,Santa Catarina,Brazil,2020/12/15 05:26:38+00,-27.2423,-50.2189,432050,395585,4420,32045,,,"Santa Catarina, Brazil"
-46.6333,-23.5505,66,Sao Paulo,Brazil,2020/12/15 05:26:38+00,-23.5505,-46.6333,1337016,1185217,44050,107749,,,"Sao Paulo, Brazil"
-37.3857,-10.5741,67,Sergipe,Brazil,2020/12/15 05:26:38+00,-10.5741,-37.3857,99753,86854,2370,10529,,,"Sergipe, Brazil"
-48.2982,-10.1753,68,Tocantins,Brazil,2020/12/15 05:26:38+00,-10.1753,-48.2982,85549,76830,1203,7516,,,"Tocantins, Brazil"
114.7277,4.5353,69,,Brunei,2020/12/15 05:26:38+00,4.5353,114.7277,152,147,3,2,,,Brunei
25.4858,42.7339,70,,Bulgaria,2020/12/15 05:26:38+00,42.7339,25.4858,181544,85578,5838,90128,,,Bulgaria
-1.5616,12.2383,71,,Burkina Faso,2020/12/15 05:26:38+00,12.2383,-1.5616,4209,2940,71,1198,,,Burkina Faso
95.956,21.9162,72,,Burma,2020/12/15 05:26:38+00,21.9162,95.956,109512,88131,2292,19089,,,Burma
29.9189,-3.3731,73,,Burundi,2020/12/15 05:26:38+00,-3.3731,29.9189,729,640,1,88,,,Burundi
-23.0418,16.5388,74,,Cabo Verde,2020/12/15 05:26:38+00,16.5388,-23.0418,11361,11036,110,215,,,Cabo Verde
104.9167,11.55,75,,Cambodia,2020/12/15 05:26:38+00,11.55,104.9167,362,312,0,50,,,Cambodia
11.5021,3.848,76,,Cameroon,2020/12/15 05:26:38+00,3.848,11.5021,25214,23851,443,920,,,Cameroon
-116.5765,53.9333,77,Alberta,Canada,2020/12/15 05:26:38+00,53.9333,-116.5765,81986,60130,733,21123,,,"Alberta, Canada"
-127.6476,53.7267,78,British Columbia,Canada,2020/12/15 05:26:38+00,53.7267,-127.6476,42943,31207,647,11089,,,"British Columbia, Canada"
,,79,Diamond Princess,Canada,2020/12/15 05:26:38+00,,,0,0,1,0,,,"Diamond Princess, Canada"
,,80,Grand Princess,Canada,2020/12/15 05:26:38+00,,,13,13,0,0,,,"Grand Princess, Canada"
-98.8139,53.7609,81,Manitoba,Canada,2020/12/15 05:26:38+00,53.7609,-98.8139,21264,14974,499,5791,,,"Manitoba, Canada"
-66.4619,46.5653,82,New Brunswick,Canada,2020/12/15 05:26:38+00,46.5653,-66.4619,558,490,8,60,,,"New Brunswick, Canada"
-57.6604,53.1355,83,Newfoundland and Labrador,Canada,2020/12/15 05:26:38+00,53.1355,-57.6604,358,332,4,22,,,"Newfoundland and Labrador, Canada"
-124.8457,64.8255,84,Northwest Territories,Canada,2020/12/15 05:26:38+00,64.8255,-124.8457,21,15,0,6,,,"Northwest Territories, Canada"
-63.7443,44.682,85,Nova Scotia,Canada,2020/12/15 05:26:38+00,44.682,-63.7443,1420,1298,65,57,,,"Nova Scotia, Canada"
-83.1076,70.2998,86,Nunavut,Canada,2020/12/15 05:26:38+00,70.2998,-83.1076,256,207,0,49,,,"Nunavut, Canada"
-85.3232,51.2538,87,Ontario,Canada,2020/12/15 05:26:38+00,51.2538,-85.3232,146067,127104,3988,14975,,,"Ontario, Canada"
-63.4168,46.5107,88,Prince Edward Island,Canada,2020/12/15 05:26:38+00,46.5107,-63.4168,89,72,0,17,,,"Prince Edward Island, Canada"
-73.5491,52.9399,89,Quebec,Canada,2020/12/15 05:26:38+00,52.9399,-73.5491,165535,141345,7533,16657,,,"Quebec, Canada"
,,90,Repatriated Travellers,Canada,2020/12/15 05:26:38+00,,,13,13,0,0,,,"Repatriated Travellers, Canada"
-106.4509,52.9399,91,Saskatchewan,Canada,2020/12/15 05:26:38+00,52.9399,-106.4509,12238,7767,91,4380,,,"Saskatchewan, Canada"
-135.0,64.2823,92,Yukon,Canada,2020/12/15 05:26:38+00,64.2823,-135,59,54,1,4,,,"Yukon, Canada"
20.9394,6.6111,93,,Central African Republic,2020/12/15 05:26:38+00,6.6111,20.9394,4936,1924,63,2949,,,Central African Republic
18.7322,15.4542,94,,Chad,2020/12/15 05:26:38+00,15.4542,18.7322,1771,1608,102,61,,,Chad
-70.3975,-23.6509,95,Antofagasta,Chile,2020/12/15 05:26:38+00,-23.6509,-70.3975,22653,21783,575,295,,,"Antofagasta, Chile"
-72.3311,-38.9489,96,Araucania,Chile,2020/12/15 05:26:38+00,-38.9489,-72.3311,19891,18679,261,951,,,"Araucania, Chile"
-69.4785,-18.594,97,Arica y Parinacota,Chile,2020/12/15 05:26:38+00,-18.594,-69.4785,10451,10086,214,151,,,"Arica y Parinacota, Chile"
-70.0503,-27.5661,98,Atacama,Chile,2020/12/15 05:26:38+00,-27.5661,-70.0503,8276,8117,109,50,,,"Atacama, Chile"
-73.7669,-45.9864,99,Aysen,Chile,2020/12/15 05:26:38+00,-45.9864,-73.7669,1341,1283,15,43,,,"Aysen, Chile"
-72.1416,-37.4464,100,Biobio,Chile,2020/12/15 05:26:38+00,-37.4464,-72.1416,41168,38102,685,2381,,,"Biobio, Chile"
-71.3389,-29.959,101,Coquimbo,Chile,2020/12/15 05:26:38+00,-29.959,-71.3389,13574,13077,281,216,,,"Coquimbo, Chile"
-72.1416,-41.9198,102,Los Lagos,Chile,2020/12/15 05:26:38+00,-41.9198,-72.1416,22640,21496,230,914,,,"Los Lagos, Chile"
-72.3311,-40.231,103,Los Rios,Chile,2020/12/15 05:26:38+00,-40.231,-72.3311,7314,6646,70,598,,,"Los Rios, Chile"
-70.9863,-52.368,104,Magallanes,Chile,2020/12/15 05:26:38+00,-52.368,-70.9863,15620,14833,219,568,,,"Magallanes, Chile"
-71.6885,-35.5183,105,Maule,Chile,2020/12/15 05:26:38+00,-35.5183,-71.6885,22329,21054,516,759,,,"Maule, Chile"
-70.6505,-33.4376,106,Metropolitana,Chile,2020/12/15 05:26:38+00,-33.4376,-70.6505,310468,297011,10543,2914,,,"Metropolitana, Chile"
-71.7622,-36.7226,107,Nuble,Chile,2020/12/15 05:26:38+00,-36.7226,-71.7622,9542,8968,192,382,,,"Nuble, Chile"
-71.0022,-34.5755,108,OHiggins,Chile,2020/12/15 05:26:38+00,-34.5755,-71.0022,20514,19640,565,309,,,"OHiggins, Chile"
-69.5132,-19.9232,109,Tarapaca,Chile,2020/12/15 05:26:38+00,-19.9232,-69.5132,14371,13858,265,248,,,"Tarapaca, Chile"
,,110,Unknown,Chile,2020/12/15 05:26:38+00,,,45,45,1,0,,,"Unknown, Chile"
-71.6127,-33.0472,111,Valparaiso,Chile,2020/12/15 05:26:38+00,-33.0472,-71.6127,33633,31860,1190,583,,,"Valparaiso, Chile"
117.2264,31.8257,112,Anhui,China,2020/12/15 05:26:38+00,31.8257,117.2264,992,986,6,0,,,"Anhui, China"
116.4142,40.1824,113,Beijing,China,2020/12/15 05:26:38+00,40.1824,116.4142,956,940,9,7,,,"Beijing, China"
107.874,30.0572,114,Chongqing,China,2020/12/15 05:26:38+00,30.0572,107.874,590,583,6,1,,,"Chongqing, China"
117.9874,26.0789,115,Fujian,China,2020/12/15 05:26:38+00,26.0789,117.9874,502,469,1,32,,,"Fujian, China"
104.2861,35.7518,116,Gansu,China,2020/12/15 05:26:38+00,35.7518,104.2861,182,180,2,0,,,"Gansu, China"
113.4244,23.3417,117,Guangdong,China,2020/12/15 05:26:38+00,23.3417,113.4244,2018,1973,8,37,,,"Guangdong, China"
108.7881,23.8298,118,Guangxi,China,2020/12/15 05:26:38+00,23.8298,108.7881,264,261,2,1,,,"Guangxi, China"
106.8748,26.8154,119,Guizhou,China,2020/12/15 05:26:38+00,26.8154,106.8748,147,145,2,0,,,"Guizhou, China"
109.7453,19.1959,120,Hainan,China,2020/12/15 05:26:38+00,19.1959,109.7453,171,165,6,0,,,"Hainan, China"
114.9042,37.8957,121,Hebei,China,2020/12/15 05:26:38+00,37.8957,114.9042,373,367,6,0,,,"Hebei, China"
127.7615,47.862,122,Heilongjiang,China,2020/12/15 05:26:38+00,47.862,127.7615,960,936,13,11,,,"Heilongjiang, China"
